"4610.0 Water Account, Australia, 2023-24",,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 11 December 2025,,,,,,,,,,,,,,,,
"Physical Water Supply and Use, by Water Type, Australia and state/territory (Megalitres), 2014-15 to 2023-24",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 
Australia,0,"Waste collection, treatment and disposal services",D,Use,Sea water for desalination,ML,-,-,-,-,-,-,-,-,na,na
Australia,0,"Total Electricity, gas, water and waste services (f)",D,Use,Sea water for desalination,ML,144152,148908,202821.9481,171693,131636,385384,314415,283152,179886,170430
Australia,0,Other industries,E -S,Use,Sea water for desalination,ML,487.8083,479.6827,512.7143,527.9291,529.6567,500.8619,469.9314,479.0272,502.3549,541.2796
Australia,0,Total industry,Total industry,Use,Sea water for desalination,ML,157752.7914,161656.6529,214759.6196,187464.5061,207173.5857,464384.5753,393779.9084,373930.9062,270711.4119,268098.1136
Australia,0,Households (g),HH,Use,Sea water for desalination,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Environment,Environment,Use,Sea water for desalination,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Total,Total,Use,Sea water for desalination,ML,157752.7914,161656.6529,214759.6196,187464.5061,207173.5857,464384.5753,393779.9084,373930.9062,270711.4119,268098.1136
Australia,0,"Agriculture, forestry and fishing (d) (e) ",A,Use,Self-extracted,ML,3254809.307,3368672.11,3221235.405,3381388.072,3113376.137,2702550.543,2808521.771,2554819.614,3892886.059,4054359.529
Australia,0,Mining,B,Use,Self-extracted,ML,1138052.274,1142394.605,1164067.503,1124387.163,1149777.433,1196164.687,1348013.208,1431775.375,1443290.227,1349134.483
Australia,0,Manufacturing,C,Use,Self-extracted,ML,364518.0774,345105.6757,349236.1438,376899.4793,369557.5,354959.1009,385566.2324,370968.0702,296230.2457,351486.367
Australia,0,Electricity and gas supply,D,Use,Self-extracted,ML,49955094.97,48542086.81,53556413.01,53093634.42,50829935.97,54011071.24,48376983.54,51143018.24,51707681.41,40091329.47
Australia,0,"Water supply, sewerage and drainage services",D,Use,Self-extracted,ML,12159329.43,10825985.36,11810876.22,12583740.66,10370491.45,8769957.906,11372916.15,11897205.64,10670152.35,12469966.59
Australia,0,"Waste collection, treatment and disposal services",D,Use,Self-extracted,ML,383.2671,332.0851,241.5326,579.874,462.113,458.4817,395.7646,320.9026,na,na
Australia,0,"Total Electricity, gas, water and waste services (f)",D,Use,Self-extracted,ML,62114807.67,59368404.26,65367530.76,65677954.96,61200889.53,62781487.62,59750295.46,63040544.78,62377833.76,52561296.06
Australia,0,Other industries,E -S,Use,Self-extracted,ML,106841.0135,105443.0804,114035.2996,122146.869,118151.9869,113422.7358,119958.0824,124643.8555,131693.6342,130735.3889
Australia,0,Total industry,Total industry,Use,Self-extracted,ML,66979028.34,64330019.74,70216105.11,70682776.54,65951752.59,67148584.69,64412354.75,67522751.69,68141933.93,58447011.83
Australia,0,Households (g),HH,Use,Self-extracted,ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Environment,Environment,Use,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Total,Total,Use,Self-extracted,ML,66979028.34,64330019.74,70216105.11,70682776.54,65951752.59,67148584.69,64412354.75,67522751.69,68141933.93,58447011.83
Australia,0,"Agriculture, forestry and fishing (d) (e) ",A,Use,Distributed,ML,7413502.35,6332072.744,7520684.711,8107940.079,5759348.659,4314140.787,6820259.429,7334668.883,6291199.368,7618045.039
Australia,0,Mining,B,Use,Distributed,ML,113134.9025,100301.9407,105186.5933,125268.8276,131921.3965,146946,107257,106823,115802,132303
Australia,0,Manufacturing,C,Use,Distributed,ML,255304.3045,246244.5979,251553.1107,252246.3305,248156.6586,262475,243953,237448,226455.25,234561.1051
Australia,0,Electricity and gas supply,D,Use,Distributed,ML,136340,117817,np,150127.967,130719,188959,258345,151765,160142,159709
Australia,0,"Water supply, sewerage and drainage services",D,Use,Distributed,ML,2054259,1784487,np,1580074.182,1729947.415,1513206.91,1596919,1732022,1534416,1869473
Australia,0,"Waste collection, treatment and disposal services",D,Use,Distributed,ML,4145.4053,4103.7332,4137.2894,4217.2204,4640.6135,4694.6443,4107.9833,4026.7235,na,na
Australia,0,"Total Electricity, gas, water and waste services (f)",D,Use,Distributed,ML,2194744.405,1906407.733,1687025.939,1734419.37,1865307.028,1706860.554,1859371.983,1887813.724,1694558,2029182
Australia,0,Other industries,E -S,Use,Distributed,ML,522864.8017,525823.5744,556196.2076,599609.6901,588998.406,564447.8677,573563.6592,594064.4978,615064.4078,620474.8988
Australia,0,Total industry,Total industry,Use,Distributed,ML,10499550.76,9110850.59,10120646.56,10819484.3,8593732.148,6994870.209,9604405.072,10160818.1,8943079.026,10634566.04
Australia,0,Households (g),HH,Use,Distributed,ML,1691415.569,1748263.716,1723635.139,1798962.106,1812570.118,1811779.504,1804356.338,1772371.236,1752718.661,1861051.559
Australia,0,Environment,Environment,Use,Distributed,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Total,Total,Use,Distributed,ML,12190966.33,10859114.31,11844281.7,12618446.4,10406302.27,8806649.713,11408761.41,11933189.34,10695797.69,12495617.6
Australia,0,"Agriculture, forestry and fishing (d) (e) ",A,Use,Wastewater (c),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Mining,B,Use,Wastewater (c),ML,na,na,na,na,na,na,na,na,na,na
