"4610.0 Water Account, Australia, 2021-22",,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 19 October 2023,,,,,,,,,,,,,,
"Monetary Water Supply and Use, by Industry and Water Type, Australia and state/territory (Purchasers' Prices), $ Million, 2014-15 to 2021-22 (a)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 ,2021-22
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Sewerage and wastewater services ,$m, - , - , - , - , - , - , - , - 
Australia,0,Imports,Imports,Supply,Sewerage and wastewater services ,$m,10.1613,9.1935,10.5956, - ,0.963,0.963, - , - 
Australia,0,Exports,Exports,Supply,Sewerage and wastewater services ,$m, - , - , - , - , - , - , - , - 
Australia,0,Taxes,Taxes,Supply,Sewerage and wastewater services ,$m,38.2041,48.4898,42.5185,42.5185,57.1975,59.2222,61.7531,62.7654
Australia,0,Subsidies,Subsidies,Supply,Sewerage and wastewater services ,$m, - , - , - , - , - , - , - , - 
Australia,0,Total,Total,Supply,Sewerage and wastewater services ,$m,"6,566.23","6,828.88","6,816.30","7,087.71","7,171.39","7,670.68","7,526.82","7,726.10"
Australia,0,"Agriculture, forestry and fishing",A,Supply,Total revenue,$m, - , - , - , - , - , - , - , - 
Australia,0,Mining,B,Supply,Total revenue,$m,118.4551,119.0058,129.1443,141.3154,159.0989,172.3975,171.1543,151.9055
Australia,0,Manufacturing,C,Supply,Total revenue,$m,28.2521,22.4829,25.5823,30.2385,29.6838,31.8441,34.1026,28.6474
Australia,0,"Electricity, gas and waste services",D,Supply,Total revenue,$m,26.9359,29.2175,31.0517,31.9706,37.8553,31.4661,31.1031,31.8023
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Total revenue,$m,"17,375.36","18,038.09","17,859.32","18,624.45","19,358.05","19,936.39","19,710.93","20,148.23"
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Total revenue,$m,"17,402.29","18,067.31","17,890.37","18,656.42","19,395.90","19,967.86","19,742.03","20,180.04"
Australia,0,Other industries,E -S,Supply,Total revenue,$m, - , - , - , - , - , - , - , - 
Australia,0,Total Industry,Total industry,Supply,Total revenue,$m,"17,549.00","18,208.80","18,045.10","18,827.98","19,584.69","20,172.10","19,947.29","20,360.59"
Australia,0,Households,HH,Supply,Total revenue,$m, - , - , - , - , - , - , - , - 
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Total revenue,$m, - , - , - , - , - , - , - , - 
Australia,0,Imports,Imports,Supply,Total revenue,$m,21.001,19.002,22.003, - ,2,2, - , - 
Australia,0,Exports,Exports,Supply,Total revenue,$m, - , - , - , - , - , - , - , - 
Australia,0,Taxes,Taxes,Supply,Total revenue,$m,78,99,84,84,113,117,122,124
Australia,0,Subsidies,Subsidies,Supply,Total revenue,$m,-38,-37,-33,-36,-33,-35,-18,-18
Australia,0,Total,Total,Supply,Total revenue,$m,"17,610.00","18,289.80","18,118.10","18,875.98","19,666.69","20,256.10","20,051.29","20,466.59"
