"4610.0 Water Account, Australia, 2021-22",,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 19 October 2023,,,,,,,,,,,,,,
"Physical Water Supply and Use, by Water Type, Australia and state/territory (Megalitres), 2014-15 to 2021-22",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit,   2014-15   ,   2015-16   ,   2016-17   ,   2017-18   ,   2018-19   ,   2019-20   ,   2020-21   ,  2021-22  
Australia,0,Manufacturing,C,Use,Groundwater,ML,"129,111.78","115,184.18","115,137.85","123,494.29","119,454.83","122,106.39","120,759.11","119,344.77"
Australia,0,Electricity and gas supply,D,Use,Groundwater,ML,"51,124.49","52,464.69","54,831.07","47,535.38", np , np , np ,"50,578.49"
Australia,0,"Water supply, sewerage and drainage services",D,Use,Groundwater,ML,"510,614.00","582,667.00","566,694.12","574,625.44","595,321.00","580,931.00","528,766.00","509,521.00"
Australia,0,"Waste collection, treatment and disposal services",D,Use,Groundwater,ML,69.1339,13.5321,13.3133,39.8982, np , np , np ,52.5499
Australia,0,"Total Electricity, gas, water and waste services",D,Use,Groundwater,ML,"561,807.63","635,145.23","621,538.50","622,200.72","646,072.06","634,328.29","580,585.35","560,152.04"
Australia,0,Other industries,E -S,Use,Groundwater,ML,"44,377.99","43,941.72","44,871.22","45,550.39","45,101.45","43,827.30","44,386.95","45,652.22"
Australia,0,Total industry,Total industry,Use,Groundwater,ML,"3,482,871.17","3,824,767.10","3,346,762.81","3,595,706.30","3,751,413.15","3,655,608.17","3,585,114.02","3,248,790.04"
Australia,0,Households (e),HH,Use,Groundwater,ML, na , na , na , na , na , na , na , na 
Australia,0,Environment,Environment,Use,Groundwater,ML, na , na , na , na , na , na , na , na 
Australia,0,Total,Total,Use,Groundwater,ML,"3,482,871.17","3,824,767.10","3,346,762.81","3,595,706.30","3,751,413.15","3,655,608.17","3,585,114.02","3,248,790.04"
Australia,0,"Agriculture, forestry and fishing (d)",A,Use,Sea water for desalination,ML, - , - , - , - , - , - , - , - 
Australia,0,Mining,B,Use,Sea water for desalination,ML,"10,304.79","10,006.13","9,707.47","12,279.58","72,282.87","73,286.36","73,345.34", np 
Australia,0,Manufacturing,C,Use,Sea water for desalination,ML,"2,808.19","2,262.84","1,717.49","2,964.00","2,725.06","5,213.35","5,549.64", np 
Australia,0,Electricity and gas supply,D,Use,Sea water for desalination,ML, - , - , - , - , - , - , - , - 
Australia,0,"Water supply, sewerage and drainage services",D,Use,Sea water for desalination,ML,"144,152.00","148,908.00","202,821.95","171,693.00","131,636.00","385,384.00","314,415.00","283,152.00"
Australia,0,"Waste collection, treatment and disposal services",D,Use,Sea water for desalination,ML, - , - , - , - , - , - , - , - 
