"4610.0 Water Account, Australia, 2023-24",,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 11 December 2025,,,,,,,,,,,,,,,,
"Monetary Water Supply and Use, by Industry and Water Type, Australia and state/territory (Purchasers' Prices), $ Million, 2014-15 to 2023-24 (a)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 
Australia,0,Manufacturing,C,Supply,Total water supplied,$m,13.0224,11.0607,12.0593,13.7187,13.9662,14.4,15.285,14.5459,15.7696,16.5839
Australia,0,"Electricity, gas and waste services",D,Supply,Total water supplied,$m,26.9299,29.2111,31.0442,31.9619,37.8461,31.4582,31.0971,33.2164,33.8269,35.874
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Total water supplied,$m,10857.4956,11266.8086,11090.7323,11579.7158,12244.4436,12326.0864,12245.6986,12485.1216,12766.4591,14231.023
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Total water supplied,$m,10884.4255,11296.0196,11121.7765,11611.6777,12282.2896,12357.5445,12276.7957,12518.338,12800.2861,14266.897
Australia,0,Other industries,E -S,Supply,Total water supplied,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total Industry,Total industry,Supply,Total water supplied,$m,11015.8792,11428.1882,11263.9701,11767.2594,12456.0348,12543.4823,12462.4021,12691.0167,12982.1793,14462.3619
Australia,0,Households,HH,Supply,Total water supplied,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Total water supplied,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Imports,Imports,Supply,Total water supplied,$m,10.8397,9.8085,11.4074,-,1.037,1.037,-,-,-,-
Australia,0,Exports,Exports,Supply,Total water supplied,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Taxes (b),Taxes,Supply,Total water supplied,$m,39.7959,50.5102,41.4815,41.4815,55.8025,57.7778,60.2469,52.3457,55.8025,114.0741
Australia,0,Subsidies (c),Subsidies,Supply,Total water supplied,$m,-38,-37,-33,-36,-33,-35,-18,na,na,na
Australia,0,Total,Total,Supply,Total water supplied,$m,11028.5148,11451.5069,11283.859,11772.7409,12479.8743,12567.2972,12504.649,12743.3624,13037.9817,14576.436
Australia,0,"Agriculture, forestry and fishing",A,Supply,Sewerage and wastewater services ,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Mining,B,Supply,Sewerage and wastewater services ,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Manufacturing,C,Supply,Sewerage and wastewater services ,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,"Electricity, gas and waste services",D,Supply,Sewerage and wastewater services ,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Sewerage and wastewater services ,$m,6517.8619,6769.9996,6761.9579,7043.8365,7113.175,7610.574,7465.2038,7663.5281,7842.6586,8378.2428
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Sewerage and wastewater services ,$m,6517.8619,6769.9996,6761.9579,7043.8365,7113.175,7610.574,7465.2038,7663.5281,7842.6586,8378.2428
Australia,0,Other industries,E -S,Supply,Sewerage and wastewater services ,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total Industry,Total industry,Supply,Sewerage and wastewater services ,$m,6517.8619,6769.9996,6761.9579,7043.8365,7113.175,7610.574,7465.2038,7663.5281,7842.6586,8378.2428
Australia,0,Households,HH,Supply,Sewerage and wastewater services ,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Sewerage and wastewater services ,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Imports,Imports,Supply,Sewerage and wastewater services ,$m,10.1613,9.1935,10.5956,-,0.963,0.963,-,-,-,-
Australia,0,Exports,Exports,Supply,Sewerage and wastewater services ,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Taxes (b),Taxes,Supply,Sewerage and wastewater services ,$m,38.2041,48.4898,42.5185,42.5185,57.1975,59.2222,61.7531,53.6543,57.1975,116.9259
Australia,0,Subsidies (c),Subsidies,Supply,Sewerage and wastewater services ,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total,Total,Supply,Sewerage and wastewater services ,$m,6566.2273,6827.6829,6815.072,7086.355,7171.3354,7670.7592,7526.9569,7717.1824,7899.8562,8495.1687
Australia,0,"Agriculture, forestry and fishing",A,Supply,Total revenue,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Mining,B,Supply,Total revenue,$m,118.4314,121.1079,130.1344,141.863,159.779,171.5378,170.3214,158.1328,166.1236,178.881
Australia,0,Manufacturing,C,Supply,Total revenue,$m,13.0224,11.0607,12.0593,13.7187,13.9662,14.4,15.285,14.5459,15.7696,16.5839
Australia,0,"Electricity, gas and waste services",D,Supply,Total revenue,$m,26.9299,29.2111,31.0442,31.9619,37.8461,31.4582,31.0971,33.2164,33.8269,35.874
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Total revenue,$m,17375.3575,18036.8082,17852.6902,18623.5523,19357.6185,19936.6604,19710.9024,20148.6497,20609.1178,22609.2659
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Total revenue,$m,17402.2874,18066.0192,17883.7344,18655.5142,19395.4646,19968.1186,19741.9995,20181.8661,20642.9447,22645.1398
Australia,0,Other industries,E -S,Supply,Total revenue,$m,-,-,-,-,-,-,-,-,-,-
